Date,Open,High,Low,Close,Shares Traded,Turnover
01-Jan-08,9819.5,9927.4,9813.95,9905.25,4800796,368.47
02-Jan-08,10103.35,10333.3,9862.15,10250.85,16132598,1250.06
03-Jan-08,10164,10265.6,10070.8,10100.7,12126962,985.94
04-Jan-08,10288.05,10326.25,10120.9,10233.2,9086565,812.34
07-Jan-08,9983.1,10482.4,9948.35,10391.1,14077464,1553.62
08-Jan-08,10463.85,10558.3,10244.9,10355.6,13186656,1486.64
09-Jan-08,10355.05,10495.3,10232.55,10306.45,15180883,1466.57
10-Jan-08,10442.3,10624.2,10239.35,10266.85,17219890,1861.02
11-Jan-08,10295.7,10634.2,10295.7,10561.55,14085865,1471.84
14-Jan-08,10614.85,10774.15,10525.7,10698.35,16413678,1833.41
15-Jan-08,10680,10755.7,10433.95,10465.7,13928586,1557.24
16-Jan-08,10390.45,10397.3,10038.95,10346.95,18160427,1984.57
17-Jan-08,10404.7,10420.25,10123.7,10261.5,15964263,1635.01
18-Jan-08,10168.25,10215.3,9648.45,9739.9,17061445,1710
21-Jan-08,9671.4,9701.1,8504.65,9038.95,18326588,1989.61
22-Jan-08,8663.7,9015.8,7958.95,8682.45,18012851,1713.35
23-Jan-08,9021.5,9501.55,8889.6,9259.2,19197218,1804.21
24-Jan-08,9369.1,9630.55,8960.2,9133.85,17734431,1670.39
25-Jan-08,9170.35,9827.3,9170.35,9752.25,13248968,1291.18
28-Jan-08,9748.35,9937.9,9313.6,9901.9,8947193,856.77
29-Jan-08,9933.2,10113.35,9420.75,9569.6,13418825,1194.61
30-Jan-08,9635.35,9635.35,9309.8,9404.15,10425722,848.33
31-Jan-08,9442.2,9505.35,9147.25,9226.25,18033762,1489.6
01-Feb-08,9320.25,9379.05,9002.2,9327.05,12502764,1197.68
04-Feb-08,9444.4,9708.6,9424.2,9561.5,11027252,902
05-Feb-08,9577.3,9577.3,9363.35,9397.8,8301162,734.65
06-Feb-08,9169.55,9256.05,9052.35,9185.65,7590020,751.62
07-Feb-08,9225.3,9283.35,8925.9,8960.45,10245908,1021.84
08-Feb-08,8976.6,8999.95,8624.75,8817,10936229,1010.14
11-Feb-08,8841.2,8879.3,8216.9,8419.25,12065863,1079.59
12-Feb-08,8586,8637.9,8406.25,8512.35,8151402,747.89
13-Feb-08,8598.25,8805.55,8564.65,8748.75,8997623,807.51
14-Feb-08,8911.6,9163.2,8911.6,9125.2,9823395,939.76
15-Feb-08,9059.2,9403.7,8951.1,9380.05,9869726,981.9
18-Feb-08,9411.25,9518.35,9320.4,9404.2,7841877,694.97
19-Feb-08,9438.2,9538.7,9384.95,9423.45,9192112,790.73
20-Feb-08,9215.45,9346.05,9056.1,9129.1,9031521,828.44
21-Feb-08,9143.8,9260.1,8768.15,8946.2,10309467,745.21
22-Feb-08,8922.15,8922.15,8642,8685.1,8227494,662.85
25-Feb-08,8715.8,8756,8399.2,8666.5,9897255,881.59
26-Feb-08,8704.35,8810.15,8691.1,8742.25,5978603,517.38
27-Feb-08,8808.65,8903.45,8676,8719.6,8792698,680.69
28-Feb-08,8683.85,8757.15,8496.8,8608.25,13379967,991.49
29-Feb-08,8535.85,8758.55,8248.75,8688.35,19483111,1501.17
03-Mar-08,8460.6,8460.6,8004.7,8047.45,15231742,1210.86
04-Mar-08,8032.95,8101,7587.6,7736.6,19553022,1612.52
05-Mar-08,7696.8,7734.9,7519.1,7588.35,26690588,1820.98
07-Mar-08,7474.3,7474.3,7064.5,7268.15,21620050,1512.21
10-Mar-08,7163.5,7375.2,6945.5,7272.5,24385828,1476.76
11-Mar-08,7186.1,7481.75,7124.6,7356.4,20229638,1368.4
12-Mar-08,7533.5,7705.65,7289.05,7341.55,18066183,1268.47
13-Mar-08,7226.8,7226.8,6840.65,6914.65,10977751,806.16
14-Mar-08,6914.15,7124.95,6880,7106,15875214,947.32
17-Mar-08,6956,6956,6493.05,6556.2,17393309,1127.51
18-Mar-08,6493.35,6611.15,6335,6472.8,22414027,1340.21
19-Mar-08,6718.3,6849.9,6379.2,6456.55,24243556,1473.18
24-Mar-08,6461.65,6691.05,6456.8,6634.6,16782044,1046.36
25-Mar-08,6804.25,7188.5,6804.25,7147.15,20642103,1111.64
26-Mar-08,7151.65,7230.8,7078.05,7120.9,20279745,1077.89
27-Mar-08,7075.9,7105.7,6941.05,6969.3,25263285,1319.89
28-Mar-08,7022.05,7079.15,6751.9,7037.85,22022453,1165.38
31-Mar-08,6970.55,6970.55,6606.05,6655,20045785,1096.03
01-Apr-08,6706.7,6727.25,6446.7,6608.1,15257280,926.36
02-Apr-08,6690.8,6949.45,6690.8,6772.7,17692616,995.4
03-Apr-08,6769.9,6836.1,6697,6746.1,12019409,621.44
04-Apr-08,6754.05,6766.3,6502,6545.15,13122622,836.79
07-Apr-08,6485.4,6857.55,6485.4,6832.4,14545133,903
08-Apr-08,6843,6959.75,6750.4,6862.7,18771215,1100.13
09-Apr-08,6839.25,7094.85,6805.4,7059.55,15677575,796.69
10-Apr-08,7090.6,7090.6,6853.5,6872.85,14844132,872.07
11-Apr-08,6935.8,6960.2,6817.55,6838.45,13179628,794.93
15-Apr-08,6773.3,6970.85,6687.9,6916.75,16249725,1001.04
16-Apr-08,6979.85,7052.6,6927.9,6951.9,11230352,765.71
17-Apr-08,7045.4,7213.8,7030.45,7165.05,19670129,1230.98
21-Apr-08,7174.45,7451.9,7117.65,7425.45,16073799,1089.45
22-Apr-08,7402.8,7542.25,7383.7,7520.9,15918804,968.02
23-Apr-08,7518.8,7532.45,7298.95,7378.05,13517009,793.03
24-Apr-08,7408.35,7446.75,7362.6,7391.9,17997855,1052.58
25-Apr-08,7409.5,7651.4,7409.5,7616.3,14775114,1056.57
28-Apr-08,7643.35,7706.6,7567.85,7590.05,15209960,1049.8
29-Apr-08,7580.05,7815.9,7570.45,7737.45,20273251,1400.69
30-Apr-08,7765.25,7804.2,7575.45,7629,17813597,1114.24
02-May-08,7774.1,7900.85,7774.1,7871.9,18105929,1270.46
05-May-08,7879.65,7990.45,7819.9,7851.5,16855580,1232.36
06-May-08,7842.9,7871.3,7751.85,7814.55,13475787,942.08
07-May-08,7787.85,7802.25,7661.35,7743.6,14169449,919.22
08-May-08,7671.85,7671.85,7502.1,7518.8,13227729,916.07
09-May-08,7530.9,7540.6,7267.9,7299,17408877,1136.01
12-May-08,7274.7,7359.6,7140.1,7330.55,13887239,943.16
13-May-08,7384.8,7471.45,7295.8,7340.95,13840553,988.85
14-May-08,7288.25,7358.75,7276.5,7324.85,9470859,584.58
15-May-08,7325.15,7524.7,7325.15,7508.15,13761020,866.11
16-May-08,7559.15,7666.9,7559.15,7644.6,14206533,916.92
20-May-08,7616.85,7616.85,7405.5,7459.2,13821238,992.29
21-May-08,7425.35,7425.35,7299.05,7374.25,11541182,843.91
22-May-08,7283.6,7288.65,7132.3,7147.3,14495501,931.16
23-May-08,7170.4,7220.6,6994.9,7009.05,13054993,885.4
26-May-08,6899.9,6925.4,6745.5,6767.45,11630929,781.02
27-May-08,6832.45,6850.35,6573.8,6593.95,17289176,970.28
28-May-08,6595.05,6837.4,6557.65,6780.9,20398903,1212.91
29-May-08,6826.5,6847.9,6526.5,6576.75,23156993,1194.65
30-May-08,6608.6,6651.5,6502.45,6584.35,16046637,1090.59
02-Jun-08,6577.3,6677.15,6306.25,6347.15,14577975,857.85
03-Jun-08,6265.65,6338.5,6190.6,6301.2,17158455,886.73
04-Jun-08,6311.25,6350.95,6075.05,6113.65,14351998,838.33
05-Jun-08,6151.35,6238.8,5974.1,6211.8,18564105,1084.7
06-Jun-08,6205.55,6308.7,6113.85,6140.05,14084648,816.08
09-Jun-08,5960.9,5987.75,5803,5949.2,14405446,873.96
10-Jun-08,5910.3,5949.6,5702.5,5814.35,17203834,1019.2
11-Jun-08,5857.55,5988.6,5853.75,5971.25,15910223,805.74
12-Jun-08,5796.65,6024.1,5703.1,5999.35,17482179,961.26
13-Jun-08,5976.5,6092.3,5962.45,5993.15,14478151,815.47
16-Jun-08,6030.6,6171.8,6030.6,6127.75,13044976,758.85
17-Jun-08,6127.25,6437,6119.3,6425.65,21192381,1108.32
